transaction_date,isin,quantity,price,type
2024-01-15,INE002A01018,10,2500,BUY
2024-02-20,INE00B01014,5,4200,BUY
2024-02-25,INE002A01018,5,2600,BUY
2024-03-10,INE010A01018,20,1450,BUY
2024-04-05,INE009A01013,15,1350,BUY
2024-04-15,INE009A01013,5,1300,BUY
2024-05-12,INE020A01024,25,850,BUY
2024-06-18,INE075A01025,8,1600,BUY
2024-07-22,INE018A01024,5,2800,BUY
2024-07-25,INE018A01024,3,2900,BUY
2024-08-30,INE036A01029,12,1380,BUY
2024-09-15,INE002A01018,3,2700,SELL
2024-09-15,INE009A01013,5,1400,SELL
2024-10-25,INE011A01012,30,650,BUY
2024-11-08,INE019A01027,50,420,BUY
2024-12-15,INE002A01018,2,2800,SELL
2024-12-20,INE002A01018,5,2850,SELL
